Candidate,Party,Votes
CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,703236
GIRIJA VYAS,Indian National Congress,386379
RADHA DEVI,Communist Party of India,21593
YASHWANT PURI,Independent,12675
DR. NARENDRA KUMAR GUPTA,Aam Aadmi Party,5939
MOHAMMAD IMTIYAZ,Independent,4971
SANJAY KUMAR,Bahujan Samaj Party,4467
BHANWAR LAL,Independent,3263
BABU MEGHWAL,Independent,3069
GULAB CHAND SAHLOT,Independent,1692
SHANTI LAL TRIVEDI,Communist Party of India (Marxist-Leninist) (Liberation),1564
MANGI LAL SOLANKI,Bahujan Mukti Party,1291
VIJAYA RAY,Rajasthan Vikas Party,1240
PRABHU LAL GUJJAR,Jai Maha Bharath Party,1216
None of the Above,None of the Above,20034
