Candidate,Party,Votes
S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party,622411
N.MD.FAROOK,Telugu Desam,516645
B.Y.RAMAIAH,Indian National Congress,16378
OBULESU THUDUM,Bahujan Samaj Party,11784
NOSSAM MALLIKARJUNA REDDY,Jai Samaikyandhra Party,7189
P.V.N. REDDY,All India Majlis-E-Ittehadul Muslimeen,5598
M RAMANA REDDY,Independent,5400
K.P.KAMBAGIRI SWAMI,Independent,2708
ULLAGI DAVID JAYA KUMAR,Aam Aadmi Party,2499
VANGALA SREENIVASA REDDY,Independent,2437
GADDALA BALASWAMY,Independent,1495
PIDISELA VIJAY KUMAR,Independent,1325
I.V PAKKIRA REDDY,Independent,1036
P.NARENDRA DEV,Independent,936
None of the Above,None of the Above,7115
