Candidate,Party,Votes
S.R. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,333296
DAYANIDHI MARAN,Dravida Munnetra Kazhagam,287455
J. CONSTANDINE RAVINDRAN,Desiya Murpokku Dravida Kazhagam,114798
C.D. MEYYAPPAN,Indian National Congress,25981
J. PRABHAKAR,Aam Aadmi Party,19553
MURALIKRISHNAN (A) SAMARAN,Bahujan Samaj Party,2531
M. MOHAMED RASIK,Independent,2019
S.D. KRISHNAKUMAR,Republican Party of India (A),1528
T. RAVIKUMAR,Independent,973
AUDITOR GOPINARAYANAN,Makkal Manadu Katchi,805
M. MURUGAN,Independent,697
P. AHILA,Independent,579
P. MANIMARAN,Independent,391
ARUNDHATHI JAIGANESH (A) S.JAIGANESH,Independent,390
B. AMBETH VENKATESH,Independent,390
K.RAVEENDRAN,Independent,369
M. PRABAKARAN,Independent,336
V. CHANDRAMOHAN,Independent,324
D. BABU,Independent,261
D. RAMESH,Independent,259
None of the Above,None of the Above,21959
