Candidate,Party,Votes
RAMACHANDRAN, K.N. THIRU,All India Anna Dravida Munnetra Kazhagam,545820
JAGATHRAKSHAKAN, S. THIRU,Dravida Munnetra Kazhagam,443174
MASILAMANI, R. (DR).,Marumalarchi Dravida Munnetra Kazhagam,187094
ARUL ANBARASU,Indian National Congress,39015
VASIGARAN, S.A.N. THIRU,Aam Aadmi Party,18963
MOHAMED ABBAS, S. THIRU,Bahujan Samaj Party,4977
BHARATHI, K. THIRU,Communist Party of India (Marxist-Leninist) (Liberation),4743
RAMESH, THIRU,Independent,2782
RAJAGOPAL MALLAR, P. THIRU,Independent,2622
PUGAZHENDI, A. THIRU,Independent,1726
SAMPATH. K. THIRU,Independent,1301
MADHAVARAJ, K.V. THIRU.,Independent,1165
PULAVAR. E.SU. MANI. THIRU,National Organisation Congress,870
BHARATHIDASAN R. THIRU.,Independent,811
RAMACHANDIRAN, K. THIRU,Independent,791
PALANI, A. THIRU,Independent,781
AYODHI, L.( DR).,Independent,699
SRIDHAR, C. THIRU,Ulzaipali Makkal Katchy,497
SRIDHAR,M.THIRU,Independent,477
SHANMUGAM, G. THIRU,Independent,372
SHANMUGAM, K. THIRU,Independent,291
None of the Above,None of the Above,27676
