Candidate,Party,Votes
SUNDARAM P.R,All India Anna Dravida Munnetra Kazhagam,563272
GANDHISELVAN.S,Dravida Munnetra Kazhagam,268898
VEL S.K,Desiya Murpokku Dravida Kazhagam,146882
SUBRAMANIYAN G.R,Indian National Congress,19800
VELUSAMY.S,Tamil Nadu Makkal Congress,4827
SIVAJI.S.M,Independent,4808
CHELLAKUMARASAMY.T.S(DR),Aam Aadmi Party,4348
SAKTHIVEL.S.P,Independent,3920
SELVAM.G,Independent,3362
SUBRAMANI.S,Independent,3070
MURALI.V,Independent,2487
KRISHNAN.M,Independent,2079
RAMASAMY.N,Independent,1874
SELVARAJ.R,Bahujan Samaj Party,1788
KALAIVANAN.M,Janata Dal (Secular),1711
GUNASEKARAN.S,Independent,1600
NATARAJAN.M,Independent,1182
RAMAJEYAM.G,Independent,915
PERUMAL.A,Independent,858
SELVARAJ.S,Independent,835
PANNEERSELVAM.S,Independent,823
PONMUDI.P,Independent,787
VADIVEL.R,Ulzaipali Makkal Katchy,737
RAMASAMY.P,Independent,717
GNANAPANDITHAN.P,Republican Party of India (A),700
DHARMALINGAM.M,Independent,473
None of the Above,None of the Above,16002
