Candidate,Party,Votes
J.C. DIVAKAR REDDI,Telugu Desam,606509
ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,545240
ANIL CHOWDARY. P,Indian National Congress,16659
T.KULDEEP CHOWDARY,Samaikya Telugu Rajyam,6517
KASANI NAGARAJU,Bahujan Samaj Party,6201
SHAIK. MOHAMMAD SHAFI.,Independent,3018
BOYA ANIL KUMAR,Jai Samaikyandhra Party,2779
D. SOMANATH,Independent,2263
PAVAN KUMAR,Pyramid Party of India,2070
B. SRINIVASULU,Independent,1589
BUZIREDDY VENUGOPAL REDDY,Indian Christian Secular Party,1381
G. NAGARAJU,Independent,1086
G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),944
None of the Above,None of the Above,8798
