Candidate,Party,Votes
MARUTHARAJAA R.P.,All India Anna Dravida Munnetra Kazhagam,462693
SEEMANUR PRABU S.,Dravida Munnetra Kazhagam,249645
PARIVENDAR PACHAMUTHU T.R.,Bharatiya Janata Party,238887
RAJASEKARAN M.,,Indian National Congress,31998
RAMAR YADAV K.,Tamil Nadu Makkal Congress,6324
MARUTHARAJ P.,Independent,3940
VELAYUTHAM C.,Independent,2995
SELVARAJ V.M.,Bahujan Samaj Party,2924
PACHAMUTHU N.,Independent,2762
VISWANATHAN A.,Independent,2369
PRABU S.,Independent,2211
VADIVELU P.,Independent,1821
ANBIL THANGAMANI K.,Independent,1636
THOZHAR TAMILSELVAN P.,United Communist Party of India,1509
RAJASEKAR T.,Independent,1490
MANI P.,Independent,1302
SUBRAMANI D.,Independent,1201
ABDUL RAHMAN R.,Independent,1018
SIVAPERUMAL K.,Independent,986
CHINNA RAJENDRAN C.,Independent,877
RENGARAJU M.,Independent,633
None of the Above,None of the Above,11605
