Candidate,Party,Votes
ARUNMOZHITHEVAN.A,All India Anna Dravida Munnetra Kazhagam,481429
NANDAGOPALAKRISHNAN.K.,Dravida Munnetra Kazhagam,278304
JAYASANKAR.C.R,Desiya Murpokku Dravida Kazhagam,147606
ALAGIRI.S,Indian National Congress,26650
BALASUBRAMANIAN.K,Communist Party of India,11122
RAJKUMAR.V,Independent,7678
JAISHANKAR.P.,Independent,6250
SYED MOHIDEEN.A.G.,Aam Aadmi Party,3473
SENTHILMURUGAN.S,Bahujan Samaj Party,2642
THIRUNAVUKKARASU,Independent,1782
RADHAKRISHNAN.K.R,Independent,1370
ANANDHARAJAN.S,Independent,1309
SIVAGNANASAMBANDAN.T,Independent,1257
SHRUTI MISHRA,Union Party of India,944
BASKAR.A,Independent,872
SENGUTTUVAN.R,Independent,862
GIRIJA.S,Independent,650
None of the Above,None of the Above,10338
