Candidate,Party,Votes
PARTHIPAN, R.,All India Anna Dravida Munnetra Kazhagam,571254
PON. MUTHURAMALINGAM,Dravida Munnetra Kazhagam,256722
ALAGUSUNDARAM, K.,Marumalarchi Dravida Munnetra Kazhagam,134362
AARON RASHID, J.M.,Indian National Congress,71432
THANGADURAI, V.,Bahujan Samaj Party,5299
MARIAPPAN, S.K.,Independent,3521
RAMPRAKASH, J.,Aam Aadmi Party,3213
SENTHIL RAJAN MALLAR, K.,Independent,2908
MAMALLAN THA. KANAGAMUTHU,Independent,2681
MOHAMED MIAKHAN, P.,Independent,1954
MANI, S.V.,Independent,1349
KANNAN, S.,Independent,1273
MEENAKSHI SUNDARAM, G.K.,Samajwadi Party,1107
ASATH, M.M.,Independent,1082
INNASIMUTHU, M.S.,Independent,991
KRISHNAMOORTHY, K.,Communist Party of India (Marxist-Leninist) Red Star,946
MUTHURAMALINGAM, M.,Independent,859
RABEEK, K.,Independent,767
RAMAYA, R.,Independent,742
INIYAVAN, R.,Independent,739
VOLTAIRE, M.J.,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),696
RAJA, V.,Independent,695
KARUPPIAH, R.,Independent,679
None of the Above,None of the Above,10312
