Candidate,Party,Votes
RADHAKRISHNAN T,All India Anna Dravida Munnetra Kazhagam,406694
VAIKO,Marumalarchi Dravida Munnetra Kazhagam,261143
RETHINAVELU S,Dravida Munnetra Kazhagam,241505
MANICKAM TAGORE B,Indian National Congress,38482
SAMUELRAJ K,Communist Party of India (Marxist),20157
SOUNDRAPANDIYAN K,Independent,3470
SANTHANA KRISHNAN G,Tamil Nadu Makkal Congress,3411
SOLAIRAJ K,Independent,2721
DHANUSHKODI M,Independent,2522
PALPANDI S DR,Independent,2342
KARTHIKAISAMY P,Communist Party of India (Marxist-Leninist) Red Star,2249
KAMALAVELSELVAN,Bahujan Samaj Party,1685
MOHANRAJ J,Jebamani Janata,1517
LAKSHMI KANDHAN S,Independent,1155
KANNAN G,Independent,1133
RADHAKRISHNAN PV,Independent,1068
MAHALINGAM T,Desiya Forward Bloc,1017
PANDIARAJAN R,Independent,922
SATHESH M,Independent,903
MANMATHAN M,Independent,714
SURESH GANDHI C,Independent,711
PALANICHAMY MALLAR P,Independent,700
PRADEEPKUMAR D,Lok Satta Party,681
MADHAVAN P,Independent,642
MARIMUTHU C,Independent,629
SANKAR A,Independent,532
None of the Above,None of the Above,12225
