Candidate,Party,Votes
VASANTHI.M,All India Anna Dravida Munnetra Kazhagam,424586
DR.KRISHNASAMY.K.,Puthiya Tamilagam,262812
DR.SADHAN THIRUMALAIKUMAR.T.,Marumalarchi Dravida Munnetra Kazhagam,190233
DR.JAYAKUMAR.K.,Indian National Congress,58963
LINGAM.P,Communist Party of India,23528
KRISHNASAMY.A.,Independent,12115
GUNASEKARAN.K.,Tamil Nadu Makkal Congress,8022
RADHAKRISHNAN.S.,Independent,3904
MANMATHAN,M.,Independent,3331
KANNAN,Bahujan Samaj Party,2917
MUNEESWARAN,Independent,2513
MAGESH.S.,Independent,2163
GANESAN.S.,Independent,1809
JANAGAR RAJA,Independent,1777
POONGANI.J.,Samata Party,1454
VELLADURAI.P.,Independent,1216
ALAGUMALAI.V.,Independent,1215
MEENASHISUNDARAVADIVEL.T.,Communist Party of India (Marxist-Leninist) Red Star,888
None of the Above,None of the Above,14492
