Candidate,Party,Votes
PRABAKARAN.K.R.P,All India Anna Dravida Munnetra Kazhagam,398139
DEVADASA SUNDARAM,Dravida Munnetra Kazhagam,272040
SIVANANENTHAPERUMAL.S.,Desiya Murpokku Dravida Kazhagam,127370
RAMASUBBU.S.S,Indian National Congress,62863
DHEVANATHAN YADAV.T.,Tamil Nadu Makkal Congress,19381
SESURAJ.M.P,Aam Aadmi Party,18353
MOHAMED MUBARAK.V.M.S,SOCIAL DEMOCRATIC PARTY OF INDIA,14877
THEVENDRAN.T.,Bahujan Samaj Party,4692
DEVADOSS.A.R,Independent,3394
SELVAGANAPATHY.G,Independent,3233
DHANARAJ.R.,Indian Christian Secular Party,3062
MOHAN.T,Independent,2518
LAKSHMANAN @ LAKKAN.A,Independent,1850
PATHMANABAN.K,Independent,1823
SUBRAMANIAN @ S.S.S.MANI.S,Independent,1751
RAJI YADAV,Independent,1579
GERMANUS.S,Independent,1446
RAJAMARAVAN @ MANICKAVASAGAM.S,Independent,1391
VEILUMUTHUKUMAR.P,Independent,1387
SURESH KUMAR.S,Independent,1281
DR.GANESAN.M,Independent,1262
SUBRAMANIAN.K,Independent,1196
MURUGAN.S,Independent,1159
VENKATESH.A,Independent,1052
RAJESHKANNAN,Independent,947
SARAVANAN.P,Independent,740
ELIZABETH.D,Independent,651
None of the Above,None of the Above,12893
