Candidate,Party,Votes
RADHAKRISHNAN P.,Bharatiya Janata Party,372906
VASANTHA KUMAR H.,Indian National Congress,244244
JOHN THANKAM D.,All India Anna Dravida Munnetra Kazhagam,176239
RAAJARATHINUM F.M.,Dravida Munnetra Kazhagam,117933
BELLARMIN A.V.,Communist Party of India (Marxist),35284
UDAYAKUMAR S.P.,Aam Aadmi Party,15314
NAGOOR MEERAN PEER MOHAMEAD U.,Independent,3851
JAWAHAR J.,Bahujan Samaj Party,3236
NALLA THAMPY C.,Independent,2391
BALA SUBRAMANIAN T.,Independent,1737
ANTHONY MUTHU,Communist Party of India (Marxist-Leninist) (Liberation),1647
MANIKANDAN I.,Independent,1557
VASANTHA KUMAR L.,Independent,1474
RAJESH KUMAR K.R.,Independent,1437
PADMANABHAN S.,Independent,1246
KAMARAJ K.,Independent,955
SEETHARAMADHAS P.,Independent,930
VASANTHEESVARAN E.,Independent,791
KAMARAJ G.,Independent,591
SARASWATHI S.,Independent,536
RADHAKRISHNAN T.,Independent,534
JOSE BILBIN J.,Independent,504
PAULRAJ C.M.,Communist Party of India (Marxist-Leninist) Red Star,436
WILSON I.,Independent,421
SHALIN RICHARD J.,Indians Victory Party,398
None of the Above,None of the Above,4150
