Candidate,Party,Votes
SANKAR PRASAD DATTA,Communist Party of India (Marxist),671665
ARUNODAY SAHA,Indian National Congress,168179
RATAN CHAKRABORTI,All India Trinamool Congress,117727
SUDHINDRA CHANDRA DASGUPTA,Bharatiya Janata Party,54706
BINAY DEBBARMA,Indigenousn People's Front Of Tripura,11040
ARUN KUMAR BHOWMIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8202
JOGANATI DATTA,Independent,5947
SALIL SAHA,Aam Aadmi Party,4981
SUBAL BHOWMIK,Tripura Pragatishil Gramin Congress,4690
PARTHA KARMAKAR,Communist Party of India (Marxist-Leninist) (Liberation),4226
KAMAL KANTI DEBNATH,Independent,3747
RAKHAL RAJ DATTA,Amra Bangalee,2879
PJECH DEBBARMA,Jai Maha Bharath Party,2061
None of the Above,None of the Above,12699
