Candidate,Party,Votes
JITENDRA CHOUDHURY,Communist Party of India (Marxist),623771
SACHITRA DEBBARMA,Indian National Congress,139413
BHRIGURAM REANG,All India Trinamool Congress,77028
PARIKSHIT DEBBARMA,Bharatiya Janata Party,60613
NARENDRA CHANDRA DEB BARMA,Indigenousn People's Front Of Tripura,10286
PRABIDDHA REANG,Independent,5066
KARNA BIJOY JAMATIA,Aam Aadmi Party,4871
FALGUNI TRIPURA,Communist Party of India (Marxist-Leninist) (Liberation),4444
BASU MOG,Tripura Pragatishil Gramin Congress,4262
SUBARNA MALA DEBBARMA,Amra Bangalee,4152
BIKASH DEBBARMA,Jai Maha Bharath Party,3116
PATAL KANYA JAMATIA,Independent,3004
None of the Above,None of the Above,11084
