Candidate,Party,Votes
Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,671983
SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,481660
AJAYA KUMAR VEENA,Indian National Congress,14319
MALIKIREDDY. HANUMANTHA REDDY,Bahujan Samaj Party,5515
YELLIPALEM RAMESH.REDDY,Janata Dal (United),3809
SAJID HUSSAIN,Aam Aadmi Party,3401
DR. SHAIK GHOUSE PEER,Jai Samaikyandhra Party,3219
B. PULLAIAH,Ambedkar National Congress,2565
VARADI SOBHARANI,Dalita Bahujana Party,2240
GAJJALA.RAMA SUBBA REDDY,Pyramid Party of India,1821
POREDDY PRABHAKARA REDDY,Independent,1217
RACHINENI. VENUGOPAL,Rashtriya Praja Congress (Secular),1034
PUTHA. LAKSHMI REDDY,All India Forward Bloc,933
G.V.A.K. REDDY,Janata Dal (Secular),888
None of the Above,None of the Above,6058
