Candidate,Party,Votes
DR. NEPAL SINGH,Bharatiya Janata Party,358616
NASEER AHMAD KHAN,Samajwadi Party,335181
NAWAB KAZIM ALI KHAN,Indian National Congress,156466
AKBAR HUSAIN,Bahujan Samaj Party,81006
JANNAT NISHA,All India Minorities Front,4473
JAGMOHAN,Independent,2505
NAVED MIAN,Independent,2448
VIJENDRA SINGH,Rashtriya Congress (Babu Jagjivanram),2079
TEJPAL SINGH,Independent,2063
SYED SALMAN ALI,Aam Aadmi Party,1996
JAGDISH SARAN SAGAR,Independent,1834
AKBAR MASOOD,Independent,817
None of the Above,None of the Above,6905
