Candidate,Party,Votes
DR. SATYA PAL SINGH,Bharatiya Janata Party,423475
GHULAM MOHAMMED,Samajwadi Party,213609
AJIT SINGH,Rashtriya Lok Dal,199516
PRASHANT CHAUDHRI,Bahujan Samaj Party,141743
SOMENDAR DHAKA,Aam Aadmi Party,5828
JAIVINDRA KUMAR,Independent,3915
ANIL KUMAR,Peace Party,3025
NISHANT,Independent,2708
RUKSANA,Independent,2092
SUBHASH CHAND KASHYAP,Independent,1967
ARVIND,Independent,992
KRISHAN PAL,Naitik Party,601
YUNUSH,Navbharat Nirman Party,441
AJAY PAL,Independent,440
None of the Above,None of the Above,3911
