Candidate,Party,Votes
VIJAY KUMAR SINGH,Bharatiya Janata Party,758482
RAJ BABBAR,Indian National Congress,191222
MUKUL,Bahujan Samaj Party,173085
SUDHAN KUMAR,Samajwadi Party,106984
SHAZIA ILMI MALIK,Aam Aadmi Party,89147
SANJEEV KUMAR,Independent,4639
SABIR,Independent,3409
SURESH PAL,Bharatiya Sarvodaya Kranti Party,1591
NARESH GAUTAM,Bahujan Mukti Party,1548
SALEEM MALIK,Independent,1486
RINKU KUMAR TYAGI,Independent,1185
RAMPHAL SHAKYA,Independent,1094
VINOD KUMAR TYAGI,Independent,992
KESHAV CHOUDHARY,Independent,627
NITIN,Independent,624
None of the Above,None of the Above,6205
