Candidate,Party,Votes
DR.MAHESH SHARMA,Bharatiya Janata Party,599702
NARENDRA BHATI,Samajwadi Party,319490
SATISH KUMAR,Bahujan Samaj Party,198237
KISHAN PAL SINGH,Aam Aadmi Party,32358
RAMESH CHAND TOMAR,Indian National Congress,12696
MOHD. SABIR ANSARI,All India Trinamool Congress,4506
KADEEM,Independent,4198
DHARMENDER,Dharam Nirpeksh Dal,4130
GRISA KUMAR,Independent,3496
KADIR KHAN JAISWAL,Independent,2684
SONIA SHARMA,Akhil Bharatiya Samajwadi Congress,2530
UDAYVEER,Rashtriya Janta Party,1526
RAKESH,Independent,1225
LT COL SP SINGH,Nav Bharat Democratic Party,1183
SAVITRI,Independent,996
SUMITI,Independent,978
SEEMA,Rashtriya Naujawan Dal,977
MAHESH,Independent,794
RUVEZ ALAM RAHI,National Loktantrik Party,773
RAM VILAS,Bahujan Mukti Party,656
GAJENDRA,Indian Oceanic Party,649
SUNIL GAUTAM,Independent,623
RAVINDER SHARMA,Rashtriya Kranti Party,503
SAFRUDDIN,Independent,491
None of the Above,None of the Above,3837
