Candidate,Party,Votes
DR. RAM SHANKAR KATHERIA,Bharatiya Janata Party,583716
NARAYAN SINGH SUMAN,Bahujan Samaj Party,283453
MAHARAJ SINGH DHANGAR,Samajwadi Party,134708
UPENDRA SINGH,Indian National Congress,34834
RAVINDRA SINGH,Aam Aadmi Party,7804
OM PRAKASH,Independent,4243
DINESH KUMAR GAUTAM,Independent,3657
ANIL,Bharatiya Kisan Parivartan Party,3646
VINOD KUMAR SINGH,Independent,2584
AMAR SINGH,Independent,2453
ASHOK KUMAR,Independent,1416
PREM SINGH,Bahujan Mukti Party,771
ANITA,VANCHITSAMAJ INSAAF PARTY,765
RAMESH,Janata Dal (United),602
CHANDRA PAL,Adarsh Samaj Party,557
None of the Above,None of the Above,5191
