Candidate,Party,Votes
AKSHAY YADAV,Samajwadi Party,534583
PROF. S.P. SINGH BAGHEL,Bharatiya Janata Party,420524
TH. VISHWADEEP SINGH,Bahujan Samaj Party,118909
ATUL CHATURVEDI,Indian National Congress,7447
UPENDRA SINGH,Bharatiya Kisan Parivartan Party,3696
SHAMSHER KHA,Peace Party,3526
RAKESH YADAV,Aam Aadmi Party,2808
RAJVEER,Independent,2425
MIRJA MUKARRAM BAIG,Independent,1470
JAY PRAKASH,Shivsena,1248
LAKSHMI NARAYAN,Rashtriya Janwadi Party (Krantikari),939
KHAJAN SINGH,Lok Dal,753
LAXMI,Bhartiya Shakti Chetna Party,620
RAJENDRA PRASAD,Bahujan Mukti Party,506
RAHAT AFROZ,Indian Union Muslim League,498
None of the Above,None of the Above,4654
