Candidate,Party,Votes
VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party,580376
KARUMANCHI JAYARAM,Bharatiya Janata Party,542951
CHINTA MOHAN,Indian National Congress,33333
KOTHAPALLI SUBRAMANYAM,Communist Party of India (Marxist),11168
M SOLMON,Andhra Rastra Praja Samithi,9816
NEERUGUTTA NAGESWARA,Aam Aadmi Party,7280
DR. U RAMACHANDRA M.B.B.S,Bahujan Samaj Party,6036
DEGALA SURYA NARAYANA,Pyramid Party of India,2876
KALAVAPALLI SAHADEVAIAH,Independent,2510
NUNE VENGAIAH,Independent,1829
K.S. MUNIRATHNAM,Independent,1696
SONGA RATNAMMA,Independent,1645
KATTAMANCHI PRABHAKAR,Independent,1455
THYDULA SUBBARAMAIAH,Independent,1403
None of the Above,None of the Above,8690
