Candidate,Party,Votes
DHARMENDRA KUMAR,Bharatiya Janata Party,409907
KUNWAR SARVRAJ SINGH,Samajwadi Party,271478
SUNITA SHAKYA,Bahujan Samaj Party,190200
SALEEM IQBAL SHERVANI,Indian National Congress,93861
YOGENDRA KUMAR VERMA,Akhil Bharat Hindu Mahasabha,4332
ARSHADURRAZA KHAN,Independent,3019
CAPTAIN P.C. SHARMA,Jawan Kisan Morcha,2711
IRSHAD ANSARI ADVOCATE,Peace Party,2697
NARESH SINGH SOLANKI,Aam Aadmi Party,2304
MOHD. ZARRAR KHAN,Bhartiya Naujawan Inklav Party,1440
PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,1189
OM VEER,Bhartiya Vikas Party,1152
JITENDRA SINGH YADAV,Naitik Party,855
None of the Above,None of the Above,10496
