Candidate,Party,Votes
SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,518258
AYESHA ISLAM,Samajwadi Party,277573
UMESH GAUTAM,Bahujan Samaj Party,106049
PRAVEEN SINGH ARON,Indian National Congress,84213
MASSARAT WARSI (PAPPU BHAI),Communist Party of India,7639
SUNIL KUMAR,Aam Aadmi Party,3703
ASLAM ADVOCATE,Peace Party,3338
NETRAM,Independent,2038
SAYAD RASHID ALI,Independent,1885
KAMAL KISHORE ENGINEER,Independent,1806
MANOJ VIKAT,Independent,1567
LOTAN SINGH PATEL,Independent,1402
JAVED KHAN,Independent,964
LAEEK AHMAD,Naitik Party,719
None of the Above,None of the Above,6737
