Candidate,Party,Votes
MANEKA SANJAY GANDHI,Bharatiya Janata Party,546934
BUDHSEN VERMA,Samajwadi Party,239882
ANIS AHMAD KHAN ALIAS PHOOL BABU,Bahujan Samaj Party,196294
SANJAY KAPOOR,Indian National Congress,29169
MUNESH SINGH,Independent,6151
RAJEEV AGRAWAL,Aam Aadmi Party,5547
RAM AUTAR,Communist Party of India (Marxist-Leninist) (Liberation),3187
RAVINDRA KUMAR DEVNATH,Independent,3145
NILIMA SHARMA,Peace Party,2670
MOHD NAEEM ANSARI,Independent,2617
ARAMAN KHAN,Independent,2170
SANJAY KUMAR,Naitik Party,1260
None of the Above,None of the Above,11521
