Candidate,Party,Votes
REKHA,Bharatiya Janata Party,360357
DAUD AHMAD,Bahujan Samaj Party,234682
ANAND BHADAURIYA,Samajwadi Party,234032
KUWAR JITIN PRASAD,Indian National Congress,170994
LEKHRAJ,All India Trinamool Congress,12776
ANAND KUMAR,Nationalist Congress Party,9967
AJAY VERMA,Bharatiya Jan Kranti Dal (Democratic),6144
SUKHVINDRA SINGH,Nav Bharat Democratic Party,4021
VIVEK MISHRA,Naitik Party,3745
SWAMI DAYAL,Independent,3491
VIJAY KUMAR TIWARI,Independent,3333
KIRTI SINGH,Shivsena,2788
RAM BALI,Communist Party of India (Marxist-Leninist) Red Star,2144
MALA DEVI,VANCHITSAMAJ INSAAF PARTY,1929
RAJENDRA KUMAR SINGH,Peace Party,1730
None of the Above,None of the Above,8138
