Candidate,Party,Votes
SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,518834
ARUN SHANKAR SHUKLA,Samajwadi Party,208661
BRAJESH PATHAK,Bahujan Samaj Party,200176
ANNU TANDON,Indian National Congress,197098
ANIL KUMAR CHAUDHARY,Independent,9618
RAMESHWAR,Independent,9277
GIRJA SHANKAR @ RAJU,Swarajya Party Of India,5871
AKHILESH KUMAR,Communist Party of India (Marxist-Leninist) Red Star,5128
SUKHDEV,Manavtawadi Samaj Party,4401
ARVIND KUMAR,Aam Aadmi Party,4214
MOHAMMAD AMIR KHAN,Independent,4148
RAJNIKANT,Independent,3987
SHIVKANT,Independent,3978
SHIVNATH,Independent,3472
SUMIT TEWARI,Nav Bharat Democratic Party,3398
ANIL KUMAR,Independent,3214
RAKESH KUMAR,Bahujan Mukti Party,2771
CHETRAM PASI,Republican Party of India (A),2592
SHALU DHARMENDRA,Samtawadi Republican Party,2440
ANIL KUMAR MISHRA,Socialist Party (India),1881
ROOP NARAYAN SINGH,Bhartiya Shakti Chetna Party,1818
None of the Above,None of the Above,4626
