Candidate,Party,Votes
RAJ NATH SINGH,Bharatiya Janata Party,561106
PROF. RITA BAHUGUNA JOSHI,Indian National Congress,288357
NAKUL DUBEY,Bahujan Samaj Party,64449
ABHISHEK MISRA,Samajwadi Party,56771
SYED JAVED AHMED JAFRI,Aam Aadmi Party,41429
SUMAN VERMA,Bhartiya Shakti Chetna Party,1901
MOHD. SARWAR MALIK,All India Trinamool Congress,1486
SANJEEV MEHROTRA ALIAS PIKKU BHAI,Bahujan Kranti Party (Marxwad-Ambedkarwad),1174
SYED ALI HUSAIN,Independent,1100
ASOK PANDE,Independent,930
SHISHU PAL YADAV,RASHTRIYA VIKLANG PARTY,851
SUNIL SINGH,Lok Dal,849
TARA PATKAR,Swarajya Party Of India,743
SUBHASH CHANDRA LEHRI,Independent,719
HARI RAM ALIAS HARIBHAI PATEL,Samyak Parivartan Party,694
PADAM CHANDRA GUPTA,Independent,661
SHAILENDRA SINGH YADAV,Independent,607
VIJAY BAHADUR SINGH,Manavtawadi Samaj Party,575
MANOJ SINGH,Independent,572
RADHA KRISHNAN,Uttar Pradesh Republican Party,542
RAJ KUMAR SINGH,National Youth Party,523
RAMPHAL RAWAT,Bharatiya Nav Kranti Party,502
NAND KUMAR LODHI RAJPOOT,Rashtriya Krantikari Samajwadi Party,445
VINAY PRAKASH MISHRA,Independent,441
RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI,Independent,391
ADARSH SHASTRI,Independent,389
RABI DUBEY,Nagrik Ekta Party,361
YOGESH CHANDRA BHATT,Independent,337
GHANSHYAM SINGH,Independent,282
None of the Above,None of the Above,4596
