Candidate,Party,Votes
RAHUL GANDHI,Indian National Congress,408651
SMRITI ZUBIN IRANI,Bharatiya Janata Party,300748
DHARMENDRA PRATAP SINGH,Bahujan Samaj Party,57716
DR. KUMAR VISHVAS,Aam Aadmi Party,25527
VEDPAL SHASATRI,VANCHITSAMAJ INSAAF PARTY,6464
RAMESH CHANDRA,Independent,6422
SWAMINATH,Independent,5537
GOPAL SWAROOP GANDHI,Kisan Majdoor Berojgar Sangh,5467
TULSIRAM,Independent,4884
MOHD HASAN LAHRI,Qaumi Ekta Dal,4457
CHHAYA SINGH,All India Trinamool Congress,4109
UMAKANT,Independent,3305
LAL BAHADUR,Independent,2845
MITHILESH KUMARI,Independent,2726
VASDEO,Communist Party of India (Marxist-Leninist) Red Star,2546
GIRIJA BAKS,Independent,2454
RAM SAJIWAN,Independent,2384
DWARIKA PRASAD,Independent,2345
SHIV KUMAR,Independent,2289
JITENDRA SINGH,Independent,2201
RAMSIDDH YADAV,Manavtawadi Samaj Party,2189
C L MAURYA,Pragatisheel Samaj Party,1871
RADHE MOHAN,Sanatan Sanskriti Raksha Dal,1753
BABU LAL,Bahujan Mukti Party,1617
RAM ASREY,Rashtriya Manav samman Party,1572
ZAHIDA BEGAM,Peace Party,1387
GANGESH KUMAR GUPTA,Independent,1307
BHAGWAN DEEN,Independent,1299
NARESH SINGH BHADAURIYA,Independent,1255
SONAM KINNAR,Independent,1252
RAM NEWAJ,Pragatisheel Manav Samaj Party,1140
RAVI KUMAR,Most Backward Classes Of India,1064
JAGAT SINGH CHAUDHARY,Independent,1043
SANJAY KUMAR,Independent,1015
None of the Above,None of the Above,1784
