Candidate,Party,Votes
FEROZE VARUN GANDHI,Bharatiya Janata Party,410348
PAWAN PANDEY,Bahujan Samaj Party,231446
SHAKEEL AHMED,Samajwadi Party,228144
AMEETA SINGH,Indian National Congress,41983
VARUN GANDHI,Independent,14021
SHAILENDRA PRATAP SINGH,Aam Aadmi Party,5835
BRIJESH KUMAR,Independent,5752
VIJAY,Independent,4630
GIRISH LAL,Suheldev Bhartiya Samaj Party,3804
DR. NAFEES AHMAD,Rastriya Insaaf Party,3381
PITAMBAR NISHAD,Pragatisheel Manav Samaj Party,2737
SARTAJ KHAN,Apna Desh Party,2363
RAM MILAN,Bahujan Mukti Party,1887
MOHD SHAMIM,Qaumi Ekta Dal,1637
SHIV SHANKAR,Most Backward Classes Of India,1601
None of the Above,None of the Above,5412
