Candidate,Party,Votes
KUWAR HARIVANSH SINGH,Apna Dal,375789
ASIF NIZAMUDDIN SIDDIQUE,Bahujan Samaj Party,207567
RAJKUMARI RATNA SINGH,Indian National Congress,138620
PRAMOD KUMAR SINGH PATEL,Samajwadi Party,120107
ASHOK SHUKLA " SENANI",Aam Aadmi Party,9983
SANTOSH KUMAR SINGH,All India Trinamool Congress,6309
HARIVANSH,Independent,5618
RAM SEWAK,Bahujan Mukti Party,4207
AJMAL KHAN,Independent,3342
KIRAN MISHRA,Independent,3002
NIRMALA DEVI,Bhartiya Vanchitsamaj Party,2766
SHESHNATH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2458
BAL KRISHNA,Janata Dal (United),2160
FOOLCHANDRA,Shivsena,1859
RAJENDRA SHARMA,Rashtriya Janshanti Party,1571
None of the Above,None of the Above,9098
