Candidate,Party,Votes
DIMPLE YADAV,Samajwadi Party,489164
SUBRAT PATHAK,Bharatiya Janata Party,469257
NIRMAL TIWARI,Bahujan Samaj Party,127785
RAKESH KUMAR TIWARI ADVOCATE,Independent,5723
IMRAN BIN ZAFAR,Aam Aadmi Party,4826
MUHAR SINGH AMVADI,Independent,2891
SANJAY SHAKYA,Independent,2567
GANGA CHARAN,Rashtriya Kranti Party,1282
PRADEEP KUMAR,Independent,964
SUBODH KUMAR,Peace Party,927
SURENDRA NATH,Bahujan Mukti Party,888
PUSHPA DEVI,Bhartiya Shakti Chetna Party,806
None of the Above,None of the Above,7380
