Candidate,Party,Votes
DR.MURLI MANOHAR JOSHI,Bharatiya Janata Party,474712
SRIPRAKASH JAISWAL,Indian National Congress,251766
SALEEM AHMAD,Bahujan Samaj Party,53218
SURENDRA MOHAN AGARWAL,Samajwadi Party,25723
MAHMOOD HUSAIN RAHMANI,Aam Aadmi Party,11925
KISHOR BAJPAI,Independent,3005
PREM CHANDRA PANDEY,Independent,2350
ANIL AWASTHI,All India Trinamool Congress,1701
ASHOK PASWAN ADVOCATE,Independent,1398
MUZAFFAR HUSAIN KHAN,Independent,1069
VISHWANATH KATARIA,Independent,929
VINAYAK RAO TOPE,Swarajya Party Of India,723
HIMMAT LAL,Akhil Bharatiya Rajarya Sabha,683
BETALAL DIWAKAR,Independent,665
DR.NIKHIL GUPTA,Nav Bharat Democratic Party,580
KUMARI SARASWATI,Independent,475
RAMESH KUMAR GUPTA,Parivartan Samaj Party,433
MOHAMMAD.ATEEQ,Rashtrawadi Samaj Party,425
MOHD.NASIR KHAN,Peace Party,364
ANAND MEHROTRA,Nagrik Ekta Party,361
DEVENDRA KUMAR SHARMA,Akhil Bharatiya Ashok Sena,296
None of the Above,None of the Above,2278
