Candidate,Party,Votes
KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,453884
BISHAMBHAR PRASAD NISHAD,Samajwadi Party,187096
RAKESH KUMAR GOSWAMI,Bahujan Samaj Party,176356
PRITAM SINGH LODHI "KISAAN",Indian National Congress,78229
VIMLESH,Independent,23137
ATUL KUMAR PRAJAPATI,Aam Aadmi Party,9663
AVINASH KUMAR MISHRA,All India Trinamool Congress,6297
VIVEK KUMAR,Rashtriya Krantikari Samajwadi Party,5749
ANIL KUMAR,Ambedkar Samaj Party,4860
PRAVESH KUMAR VYAS,Independent,4314
KIRAN,Independent,4079
SHRIPAL,Bundelkhand Congress,3435
RAMESH PRAJAPATI,Most Backward Classes Of India,2981
RAMSAJIVAN,Bhartiya Shakti Chetna Party,2955
KAILASH PRASAD NISHAD,Eklavya Samaj Party,1756
None of the Above,None of the Above,10449
