Candidate,Party,Votes
BHAIRON PRASAD MISHRA,Bharatiya Janata Party,342066
R. K. SINGH PATEL,Bahujan Samaj Party,226278
BAL KUMAR PATEL ALIAS RAJKUMAR,Samajwadi Party,189730
VIVEK KUMAR SINGH,Indian National Congress,36650
RAMCHANDRA SARAS,Communist Party of India,15156
VIJAY PRAKASH,Independent,7140
AMAR SINGH RATHAUR,Aam Aadmi Party,6439
NARENDRA KUMAR SHRIVASTAVA,Independent,5115
VISHVAMBHAR NATH,Bahujan Mukti Party,4755
MO. SAGEER,Peace Party,3201
SUSHEELA SINGH,Bhartiya Shakti Chetna Party,2931
PRABHAKAR PRASAD,Bharatiya Kisan Sena Loktantrik,2605
PAPPU YADAV,Janata Dal (United),2436
None of the Above,None of the Above,13824
