Candidate,Party,Votes
KESHAV PRASAD MAURYA,Bharatiya Janata Party,503564
DHARAM RAJ SINGH PATEL,Samajwadi Party,195256
KAPIL MUNI KARWARIYA,Bahujan Samaj Party,163710
MOHD. KAIF,Indian National Congress,58127
SHIMALA SHRI,Aam Aadmi Party,7384
MILAN MUKERJEE,Independent,5652
ZIAOUL HAQUE,Independent,3392
MITHILESH KUMAR,Independent,3114
GYANENDRA KUMAR SRIVASTAVA (GYANI BHAI),Nationalist Congress Party,2706
DR. NEERAJ,Independent,2187
SURENDRA KUMAR MISHRA,Lok Dal,1585
GANESHJI TRIPATHI,Rashtriya Bandhutwa Party,1521
NATHU RAM BOUDHA,Bahujan Mukti Party,1306
PARVEZ ASHFAQUE SIDDIQUI,Qaumi Ekta Dal,1302
DAKKHINI PRASAD KUSHWAHA,Rashtriya Garib Dal,1111
None of the Above,None of the Above,8424
