Candidate,Party,Votes
SHYAMA CHARAN GUPTA,Bharatiya Janata Party,313772
KUNWAR REWATI RAMAN SINGH ALIAS MANI,Samajwadi Party,251763
KESHRI DEVI,Bahujan Samaj Party,162073
NAND GOPAL GUPTA NANDI,Indian National Congress,102453
DRAUPADI DEVI,Independent,8321
ADARSH SHASTRI,Aam Aadmi Party,6439
MOHD. AMEEN AZHAR ANSARI,Qaumi Ekta Dal,4426
SHIV PRASAD AGRAHARI,Independent,4323
MAHENDRA KUMAR,Bahujan Mukti Party,4190
PARMANAND,Independent,3744
AJEET KUMAR,Independent,3388
SANJAY ROBINSON,Naitik Party,3315
SHYAM CHARAN,Independent,2593
WAHID ALI ALIAS WAJID ALI,Rashtriya Ulama Council,2332
NISTHA DEV MAURYA,Pragatisheel Samaj Party,2181
SHYAM SUNDAR DAS,Sanatan Sanskriti Raksha Dal,2115
HANSRAJ,Independent,1928
RAJENDRA PRASAD,Kalyankari Jantantrik Party,1730
HIRA LAL,Independent,1711
BRIJESH KUMAR,Independent,1438
GAYTRI PRASAD,Bhartiya Shakti Chetna Party,1293
CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI (ADVOCATE),Bharatiya Kisan Sena Loktantrik,1221
SHAILENDRA KUMAR PRAJAPATI,Independent,1212
None of the Above,None of the Above,3621
