Candidate,Party,Votes
PRIYANKA SINGH RAWAT,Bharatiya Janata Party,454214
P. L. PUNIA,Indian National Congress,242336
KAMLA PRASAD RAWAT,Bahujan Samaj Party,167150
RAJRANI RAWAT,Samajwadi Party,159284
RAJESH KUMAR VIDYARTHI,Peace Party,7980
KHANJAN LAL,Independent,7136
MAHESH,Independent,3836
KISHAN LAL,Shivsena,3261
DINESH CHANDRA GAUTAM,Aam Aadmi Party,3126
ABHILAKH RAWAT,Independent,3038
P. C. KUREEL,Indian National League,2560
MEDI LAL,Bahujan Mukti Party,2171
BABU LAL,Manavtawadi Samaj Party,2035
NITIN SINGH,Naitik Party,1315
None of the Above,None of the Above,8726
