Candidate,Party,Votes
LALLU SINGH,Bharatiya Janata Party,491761
MITRASEN YADAV,Samajwadi Party,208986
JITENDRA KUMAR SINGH (BABLU BHAIYA),Bahujan Samaj Party,141827
NIRMAL KHATRI,Indian National Congress,129917
RADHIKA PRASAD,Indian Savarn Samaj Party,9055
RAM JANAM,Moulik Adhikar Party,6308
MAKASUD ALI,Peace Party,5963
JAI RAM SINGH JAI,Lokpriya Samaj Party,5702
MAYURI TIWARI,Aam Aadmi Party,4795
SHAILENDRA KUMAR SHUKLA,Naitik Party,4187
NASREEN BANO,Rashtriya Ulama Council,2678
None of the Above,None of the Above,11537
