Candidate,Party,Votes
JAGDAMBIKA PAL,Bharatiya Janata Party,298845
MUHAMMAD MUQEEM,Bahujan Samaj Party,195257
MATA PRASAD PANDEY,Samajwadi Party,174778
DR. MOHD. AYUB,Peace Party,99242
VASUNDHARA,Indian National Congress,88117
MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA,Independent,10952
ARJUN SINGH,Bahujan Mukti Party,9529
DR. SATYENDRA NATH PANDEY,Aam Janata Party,9372
RAM UGRAH,Independent,7762
HAMIDULLAH CHAUDHARY,Nationalist Congress Party,7159
PINGLE PRASAD,Swaraj (J),5521
DIWAKAR PRASAD,Independent,5123
KALI RAM,Independent,4939
SANTRAM,Bharatiya Rashtriya Bahujan Samaj Vikas Party,3238
BADRE ALAM,Aam Aadmi Party,3174
MANOJ KUMAR,Suheldev Bhartiya Samaj Party,2709
RAVI KUMAR,Samyak Parivartan Party,2535
None of the Above,None of the Above,6775
