Candidate,Party,Votes
PANKAJ,Bharatiya Janata Party,471542
KASHI NATH SHUKLA,Bahujan Samaj Party,231084
AKHILESH,Samajwadi Party,213974
HARSH VARDHAN,Indian National Congress,57193
ANIL KUMAR SHAHANI,Independent,15517
TEJ PRATAP,Independent,6131
SHREE AKHILESH KUMAR,Apna Dal United Party,5422
KAVILAS,Suheldev Bhartiya Samaj Party,5195
RAMSAMUJH,Swaraj (J),5001
GOVIND DAS,Independent,4216
DAYARAM NISHAD,Independent,4210
AJAYDHAR,Independent,4079
ARAT KHARVAR,Bahujan Mukti Party,3752
MUMMATAJ,Peace Party,3582
SHIVCHARAN,Jai Hind Samaj Party,3455
PASHUPATI NATH GUPTA,Aam Aadmi Party,3196
RAKESH KUMAR GIRI,Independent,2545
VIMLESH TRIPATHI,Naitik Party,2339
DINANATH,Independent,2149
RADHEYSHYAM,Most Backward Classes Of India,1961
RAKESH KUMAR GUPTA,Independent,1828
DINESH KUMAR,Independent,1671
MANGAL LAL,Lok Dal,1491
None of the Above,None of the Above,4545
