Candidate,Party,Votes
HARINARAYAN RAJBHAR,Bharatiya Janata Party,379797
DARA SINGH CHAUHAN,Bahujan Samaj Party,233782
MOKHTAR ANSARI,Qaumi Ekta Dal,166443
RAJEEV KUMAR RAI,Samajwadi Party,165887
RASHTRA KUNWAR SINGH,Indian National Congress,19315
ATUL KUMAR SINGH ANJAAN,Communist Party of India,18162
DOODHNATH CHAUHAN,Independent,8163
BADRI NATH YADAV,Rashtriya Congress(J) Party,7650
DR. SHAMEEM ABIDI,Peace Party,7581
MANISH KUMAR RAI,Aam Aadmi Party,4188
HARISH CHANDRA,Rashtriya Janwadi Party (Krantikari),4130
SURYA KUMAR,Independent,4030
VIJAY KUMAR UPADHYAY,Rashtriya Krantikari Samajwadi Party,3826
HEMANT KUMAR,Bhartiya Sarvjan Party,2949
VISHUN DAYAL,Independent,2721
RAVI SHANKAR BHARAT,Jan Raajya Party,2543
RAJKUMAR CHAUHAN,Janvadi Party(Socialist),2246
HARINATH,Naitik Party,1786
None of the Above,None of the Above,4457
