Candidate,Party,Votes
VIRENDRA SINGH,Bharatiya Janata Party,403544
RAKESH DHAR TRIPATHI,Bahujan Samaj Party,245505
SEEMA MISHRA,Samajwadi Party,238615
TEJ BAHADUR YADAV ADVOCATE,Janata Dal (United),26995
SARTAJ IMAM,Indian National Congress,22574
DR. AKHILESH KUMAR DWIVEDI,Nationalist Congress Party,7730
AJAY KUMAR MAURYA,Pragatisheel Manav Samaj Party,5807
SANTRAJ SINGH,Independent,4823
RAM SAKHA TRIPATHI,Independent,4313
JEEVAN KUMAR MALLAH,Independent,4164
RAM SAGAR BIND,Qaumi Ekta Dal,2443
CHANDRASHEKHAR,Independent,2191
JAGJEEVAN RAM,Independent,1963
RAJESH KUMAR ALIAS KHANNA MAURYA,Adarsh Manavtawadi Party,1919
None of the Above,None of the Above,8966
