Candidate,Party,Votes
ANUPRIYA SINGH PATEL,Apna Dal,436536
SAMUDRA BIND,Bahujan Samaj Party,217457
LALITESH PATI TRIPATHI,Indian National Congress,152666
SURENDRA SINGH PATEL,Samajwadi Party,108859
ASHOK KUMAR,Independent,11245
RAM MURAT,Independent,7947
SANTOSH KUMAR,Samyak Parivartan Party,6811
AJAD,Gondvana Gantantra Party,6762
SUKCHARA NAND URF AALOO BABA,Shivsena,4787
DEVI,Independent,4639
VINEET SAHAI,All India Trinamool Congress,4548
SHIVRAJ SAHNI,Pragatisheel Manav Samaj Party,4405
BRIJESH KUMAR RAI,Aam Aadmi Party,4318
SARVESH DUBEY,Republican Party of India (A),4304
JITTOO RAM RATNA,Lok Dal,4209
JEERA BHARTI,Communist Party of India (Marxist-Leninist) (Liberation),4148
DR. KARNAIL SINGH,Independent,3627
BHAGWAN DAS,Bahujan Mukti Party,3324
ADESH TYAGI,Independent,3300
HINCHH LAL,Independent,2685
GIRJA SHANKAR URF CHUNMUN,Independent,2363
RADHESHYAM INSAN,Bhartiya Republican Party (Insan),2138
RAJA RAM,Independent,2010
None of the Above,None of the Above,4539
