Candidate,Party,Votes
BIJOY CHANDRA BARMAN,All India Trinamool Congress,494773
MAHENDRA KUMAR ROY,Communist Party of India (Marxist),425167
SATYALAL SARKAR,Bharatiya Janata Party,221593
SUKHBILAS BARMA,Indian National Congress,87588
KSHITISH CHANDRA MANDAL,Bahujan Samaj Party,12147
HARIBHAKTA SARDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9283
SUBHAS BISWAS,Independent,8545
HAREKRISHNA SARKAR,Republican Party of India (A),7636
HARIPADA BARMAN,Rashtriya Janasachetan Party (R.J.P.),6608
DILIP SARKAR,Bahujan Mukti Party,4900
DHRITIMAN ROY,Rashtriya Janadhikar Suraksha Party,4501
DHIRENDRA NATH ROY,Amra Bangalee,2835
None of the Above,None of the Above,16541
