Candidate,Party,Votes
ABU HASEM KHAN CHOWDHURY,Indian National Congress,380291
BISNU PADA ROY,Bharatiya Janata Party,216180
ABUL HASNAT KHAN,Communist Party of India (Marxist),209480
MD MOAZZEM HOSSAIN,All India Trinamool Congress,192632
MD NAJRUL ISLAM,All India United Democratic Front,21207
IMTIAZ AHMED MOLLAH,SOCIAL DEMOCRATIC PARTY OF INDIA,12952
MANJUR ALAHI MUNSHI,Independent,11426
SADHAN CHATTERJEE,Independent,10536
NARESH RISHI,Independent,6616
NIKHIL CHANDRA MANDAL,Bahujan Samaj Party,6138
MD EZARUDDIN,Jamat-E-Seratul Mustakim,3377
MD FARUQUE HOSSAIN (SAHITYARATNA),Indian Union Muslim League,3282
MURSED SEKH,Republican Party of India (A),2720
NASMUL HOQUE,Party for Democratic Socialism,2466
BIMAL MARDI,Jharkhand Disom Party,1921
DIPAK SINGH,Rashtriya Janadhikar Suraksha Party,1449
FIROZ AKHTAR,Bahujan Mukti Party,1342
None of the Above,None of the Above,8392
