Candidate,Party,Votes
ABHIJIT MUKHERJEE,Indian National Congress,378201
MUZAFFAR HOSSAIN,Communist Party of India (Marxist),370040
SK NURUL ISLAM,All India Trinamool Congress,207455
SAMRAT GHOSH,Bharatiya Janata Party,96751
MD. SAHABUDDIN,SOCIAL DEMOCRATIC PARTY OF INDIA,17257
ABHIJIT SARKAR,Independent,10055
MONIRUL ISLAM,Welfare Party Of India,9476
ABDUS SAYEED,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7926
SANJIT SINGH,Bahujan Samaj Party,5507
DHANANJAY BANERJEE,Amra Bangalee,3019
MD. GINNATULLA SK,Jamat-E-Seratul Mustakim,2318
None of the Above,None of the Above,11079
