Candidate,Party,Votes
KAPIL KRISHNA THAKUR,All India Trinamool Congress,551213
DEBESH DAS,Communist Party of India (Marxist),404612
K.D. BISWAS,Bharatiya Janata Party,244783
ILA MONDAL,Indian National Congress,43866
CHANDAN MALLICK,Bahujan Samaj Party,9207
PRANITA MANDAL,Independent,8738
SWAPAN MONDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3589
TARAPADA BISWAS,Amra Bangalee,2848
SHYAM PRASAD MONDAL,Party for Democratic Socialism,2624
SARAT CHANDRA MANDAL,Rashtriya Ahinsa Manch,1172
PINAKI RANJAN BHARATI,The Religion of Man Revolving Political Party of India,1071
None of the Above,None of the Above,9965
