Candidate,Party,Votes
SAUGATA ROY,All India Trinamool Congress,483244
ASIM KUMAR DASGUPTA,Communist Party of India (Marxist),328310
TAPAN SIKDAR,Bharatiya Janata Party,254819
DHANANJAY (SHAKTI) MOITRA,Indian National Congress,34116
ASHOK KUNDU,Party for Democratic Socialism,4823
NARENDRA NATH GHOSH (NAREN GHOSH),Bahujan Samaj Party,4077
SUKHA RANJAN BANIK,Independent,3256
SATYABRATA BANDYOPADHYAY,Rashtriya Janadhikar Suraksha Party,1618
SIKHA SEN ROY,Communist Party of India (Marxist-Leninist) Red Star,1544
None of the Above,None of the Above,16837
