Candidate,Party,Votes
DR. KAKALI GHOSHDOSTIDAR,All India Trinamool Congress,525387
DR. MORTOZA HOSSAIN,All India Forward Bloc,352246
P.C. SORCAR JUNIOR,Bharatiya Janata Party,296608
RIJU GHOSAL,Indian National Congress,40660
SUKUMAR BALA,Bahujan Samaj Party,12178
MORTTAJA HOSEN,Independent,6911
MD. RAFIKUL ISLAM,Welfare Party Of India,6895
SHRI KAUSHIK DAS GUPTA,Independent,6375
KALYAN BASAK,Independent,4122
PARESH CHANDRA GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2439
BIKASH HAZRA,Bahujan Mukti Party,1478
SUKLA BHUIMALI,Communist Party of India (Marxist-Leninist) Red Star,1332
None of the Above,None of the Above,12700
