Candidate,Party,Votes
ABHISHEK BANERJEE,All India Trinamool Congress,508481
DR. ABUL HASNAT,Communist Party of India (Marxist),437183
ABHIJIT DAS (BOBBY),Bharatiya Janata Party,200858
MD. QAMRUZZAMAN QAMAR,Indian National Congress,63047
SUDIP KUMAR SAHA,Independent,8740
SOUGATA GHOSH,Independent,6634
SAILEN SADHUKHAN,Independent,6633
BECHU MONDAL,Independent,3607
NAZMA YASMEEN,Welfare Party Of India,3272
DILIP KUMAR MANDAL,Bahujan Samaj Party,2892
AJAY GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2529
JAYNAL ABEDIN MONDAL,Indian Union Muslim League,1856
BIJAN MAJUMDER,Independent,1348
SAMIR PUTATUNDA,Party for Democratic Socialism,1322
HABIBUR RAHAMAN MOLLA,Rashtriya Janasachetan Party (R.J.P.),1260
ALOK SEN,Independent,977
None of the Above,None of the Above,10657
