Candidate,Party,Votes
BADRUDDIN AJMAL,All India United Democratic Front,592569
WAZED ALI CHOUDHURY,Indian National Congress,362839
DR. DEBAMOY SANYAL,Bharatiya Janata Party,298985
MOHAR UDDIN MONDAL,Independent,40208
ALI HUSSAIN,Independent,23816
ANOWAR HUSSAIN,Asom Gana Parishad,9897
ZESMINA KHATUN,All India Trinamool Congress,7874
SURAT JAMAN MONDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5935
MOHENDRA CHANDRA ROY,Independent,4607
AZMAL HUSSAIN,Aam Aadmi Party,4468
YOUSUB ALI AHMED,Samajwadi Party,3277
KASHEM ALI AKONDA,Independent,2785
MONIRUL HUSSAIN,Independent,2723
RAM EKBAL SHAHANI,Independent,2375
KASIR UDDIN SK.,Indian Union Muslim League,1455
None of the Above,None of the Above,5811
