Candidate,Party,Votes
ADHIKARI SUVENDU,All India Trinamool Congress,716928
SEKH IBRAHIM ALI,Communist Party of India (Marxist),470447
BADSHA ALAM,Bharatiya Janata Party,86265
ANWAR ALI SK,Indian National Congress,29645
BIBEKANANDA RAY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),10197
RAJYASHREE CHAUDHURI,Independent,3609
KAMAL BAG,Bahujan Samaj Party,3110
KALISANKAR JANA,Independent,2658
ABDUR REZAK SK,Independent,1682
MANIK CHANDRA MONDAL,Indian Union Muslim League,1500
None of the Above,None of the Above,11643
