Candidate,Party,Votes
ADHIKARI DEEPAK (DEV),All India Trinamool Congress,685696
SANTOSH RANA,Communist Party of India,424805
MANAS RANJAN BHUNIA,Indian National Congress,122928
MD. ALAM,Bharatiya Janata Party,94842
ANJAN JANA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8080
GOUTAM KOURI,Amra Bangalee,5547
GOPAL MONDAL,Independent,4498
GOPAL MURMU,Jharkhand Anushilan Party,2154
GOBARDHAN GHOSH,Rashtriya Janadhikar Suraksha Party,1983
GANGARAM SASMAL,Party for Democratic Socialism,1758
None of the Above,None of the Above,14418
