Candidate,Party,Votes
SANDHYA ROY,All India Trinamool Congress,579860
PRABODH PANDA,Communist Party of India,395194
PRABHAKAR TEWARI,Bharatiya Janata Party,180112
DR. BIMAL KUMAR RAJ,Indian National Congress,48883
TUSHAR JANA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9783
KAVITA RANI,Bahujan Samaj Party,8639
ASHOK BERA,Amra Bangalee,7883
SOUMEN SAMANTA,Party for Democratic Socialism,6062
MUKIM KHAN,Jharkhand Mukti Morcha,5335
RAMKRISNA SARKAR,Independent,4655
None of the Above,None of the Above,13626
