Candidate,Party,Votes
BABUL SUPRIYA BARAL (BABUL SUPRIYO),Bharatiya Janata Party,419983
DOLA SEN,All India Trinamool Congress,349503
BANSA GOPAL CHOUDHURY,Communist Party of India (Marxist),255829
INDRANI MISHRA,Indian National Congress,48502
MANASH SARKAR,Independent,14263
JYOTIRMOY MAITI,Independent,10227
KANAI BANERJEE,Jharkhand Mukti Morcha,5728
SUJIT KAR,Independent,5016
MD. REYAZUDDIN,Indian Union Muslim League,4947
JARASANDHA SINHA,Bahujan Samaj Party,4663
ATUL CHANDRA BOURI,Bahujan Mukti Party,4256
ANANTA LAL GUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3115
MD. MUSTAQIM,Gareeb Aadmi Party,2450
BURO MURMU,Jharkhand Disom Party,2434
None of the Above,None of the Above,11479
