Candidate,Party,Votes
KAMALBHAN SINGH MARABI,Bharatiya Janata Party,585336
RAM DEV RAM,Indian National Congress,438100
DHARMJEET SINGH MARKAM,Bahujan Samaj Party,21633
RAJNATH,Independent,15515
COMRADE SURENDRA LAL SINGH,Communist Party of India (Marxist),14849
BALDEO PRASAD SINGH MARAVI,Gondvana Gantantra Party,14702
RAMASAPNA SINGH,Ambedkarite Party of India,11691
TULESHWAR SINGH,All India Trinamool Congress,11384
BAHADUR RAM,Independent,10861
DUBRAJ SINGH MARKAM,Independent,7577
SHIVKUMAR SINGH SHYAM,Rashtriya Gondvana Party,7374
KUMAIT RAM SANDIL,Independent,6146
RAMNATH CHEARWA,Shoshit Samaj Dal,6051
ADVOCATE KUNJ BIHARI SINGH PAIKRA,Bahujan Mukti Party,4998
None of the Above,None of the Above,31104
