Candidate,Party,Votes
KAMLA PATLE,Bharatiya Janata Party,518909
PREM CHAND JAYASI,Indian National Congress,343948
DUJ RAM BOUDDH,Bahujan Samaj Party,125617
DADOO RAM MANHAR,Aam Aadmi Party,16862
VRINDA CHAUHAN,Independent,8982
LAKHAN LAL LAHRE,Independent,7535
SATYENDRA BHANDARI,Ambedkarite Party of India,6275
PREMSHANKAR MAHILANGE,Independent,5309
DEEPAK NARANG,Independent,3977
CHAITRAM SURYAVANSHI ADHIWAKTA,Independent,3208
JEEVAN LAL BHARATI,Independent,2962
JAGDISH PRASAD NIRALA,Independent,2890
LAKHAN LAL CHAUHAN,Bahujan Mukti Party,2859
NOHAR SINGH SONWANI,Samajwadi Party,2852
KAUSHAL PRASAD NAVARANG,Independent,2724
None of the Above,None of the Above,18438
