Candidate,Party,Votes
DR. BANSHILAL MAHTO,Bharatiya Janata Party,439002
CHARAN DAS MAHANT,Indian National Congress,434737
HIRASINGH MARKAM,Gondvana Gantantra Party,52753
JEEVAN LAL RAOUTEL,Independent,18459
AMAR NATH PANDEY,Aam Aadmi Party,14594
DHANSINGH DHURVE,Bahujan Samaj Party,14198
PRATAP BHANU,Independent,9495
CHARAN BHAYA,Independent,6919
JATA SHANKAR PANDAY,Independent,6461
S.R. ANCHAL,Independent,5657
CHANDRA BHUSHAN PRATAP SINGH KANWAR,Ambedkarite Party of India,5238
LAXMAN LAL KAIWART,Chhattisgarhiya Party,4265
PHULESHWAR PRASAD SURAJIHA,Independent,4111
RAJESH KUMAR PANDEY,Independent,3676
DR.URMILA SINGH MARKO,Rashtriya Gondvana Party,2768
HARBHAJAN SINGH SHYAM,Independent,2728
RAJENDRA SINGH KANWAR,Chhattisgarh Swabhiman Manch,2700
MOHAN LAL BARGAHI,Independent,2679
FATTE SINGH SHYAM,Independent,2671
KEWAL GOSWAMI,Samajwadi Party,2478
SEKH RAUF,Independent,2422
RAJESH KUMAR MAHANT,Janata Dal (United),2333
KAMAL DEO,Bhartiya Shakti Chetna Party,1998
SHAMBHU PRASAD SHARMA ADVOCATE,Independent,1808
None of the Above,None of the Above,8570
