Candidate,Party,Votes
LAKHAN LAL SAHU,Bharatiya Janata Party,561387
KARUNA SHUKLA,Indian National Congress,384951
DHARAM BHARGAV,Bahujan Samaj Party,26340
ANAND MISHRA,Aam Aadmi Party,20733
PRAKASH SURYA,Independent,14918
BALDAU PRASAD SAHU,Independent,13339
DINESH KUMAR SINGH KHUSRO NIKHIL,Independent,12024
DILIP KOSHLE,Independent,6911
DAOSINGH MARAVI,Independent,5385
ENG. RAMFAL MANDREY,Ambedkarite Party of India,4294
GANESH YADAV,Gondvana Gantantra Party,4279
RAM SINGH PANDRAM (PENDRO),Independent,4034
DAYADAS LAHRE,Independent,2988
JAITRAM KHANDE,Independent,2369
SARITA VIJAY SONI,Independent,2244
AJAY PALI,Independent,2237
MANIK DAHARIYA,Independent,2059
SALIKRAM JOGI,Independent,1836
RAMJI SAHU,Chhattisgarh Swabhiman Manch,1776
DHANIRAM YADAV,Samajwadi Party,1706
RAMESHWAR KEWAT,Independent,1661
LAKHAN LAL SAHU,Independent,1458
DHANIRAM KHARE,Republican Paksha (Khoripa),1287
LAKHANLAL SAHU,Independent,910
LAKHAN LAL SAHU,Independent,910
LAKHANLAL SAHU,Independent,855
None of the Above,None of the Above,7566
