Candidate,Party,Votes
ABHISHEK SINGH,Bharatiya Janata Party,643473
KAMLESHWAR VERMA,Indian National Congress,407562
ANAND SAHU,Bahujan Samaj Party,20458
NARENDRA BANSOD ADVOCATE,Ambedkarite Party of India,11704
SAHUKAR BHASKAR,Independent,11478
WAMANRAO BAGDE,Independent,10891
BHASKAR DWIVEDI,Aam Aadmi Party,10733
SANTOSH CHANDRAKAR,Gondvana Gantantra Party,6007
RAMESH YADAV,Independent,5941
KHEMRAJ LODHI,Independent,5546
MURAD BHAI,Independent,5255
BHAGAT SONI,Chhattisgarh Swabhiman Manch,3636
LODHI SEEMA KAUSHIK,Samajwadi Party,3228
None of the Above,None of the Above,32384
