Candidate,Party,Votes
TAMRADHWAJ SAHU,Indian National Congress,570687
SAROJ PANDEY,Bharatiya Janata Party,553839
VISHWA RATNA SINHA,Aam Aadmi Party,17454
ARUN JOSHI,Independent,16529
MUNNA CHANDRAKAR,Bahujan Samaj Party,15600
AATMA RAM SAHU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),10371
KSHITIJ KUMAR SHAMBHARKAR,Republican Paksha (Khoripa),8120
ALFRED VIKAS LOUISE,Independent,7098
SHRIKANT SHAH,Janata Dal (United),5340
SHEEMA RAHANGDALE,Ambedkarite Party of India,5104
SUBODH KUMAR GUPTA,Republican Party of India (A),4711
JINENDRA GHRITLAHARE,Independent,4537
SHAILENDRA BANJARE (SHAKTIPURTA),Shakti Sena (Bharat Desh),2903
HIRALAL ANNANT,Independent,2901
SAHETRU SINGH,Independent,2736
JAI PRAKASH NAIR,Communist Party of India (Marxist-Leninist) (Liberation),2560
ENGG. CHANDRAPRAKASH MANDLE,Independent,2301
A.K.MOHAN,All India Trinamool Congress,2286
MANNU LAL PARGANIHA,Chhattisgarh Swabhiman Manch,2159
SARJU PRASAD SHUKLA,Independent,2114
BHARAT BHUSHAN PANDEY,Communist Party of India (Marxist-Leninist) Red Star,1427
ADHIWAKTA NARENDRA GUPTA,Bhrashtachar Mukti Morcha,1413
SHITKARAN MAHILVAR,Independent,1225
DIWAKAR BAIRAGI,Independent,1150
RADHA BAI YADAV,Independent,1011
BALDAU PRASAD SAHU,Independent,859
None of the Above,None of the Above,11907
