Candidate,Party,Votes
SHIBU SOREN,Jharkhand Mukti Morcha,335815
SUNIL SOREN,Bharatiya Janata Party,296785
BABU LAL MARANDI,Jharkhand Vikas Morcha (Prajatantrik),158122
CHHAYA KOLE,Communist Party of India,26442
SHRILAL KISKU,Independent,10347
PULIS HEMRAM,Independent,10283
BAGHRAI SOREN,Independent,9436
SOKOL HANSDA,Bahujan Samaj Party,9059
BABULAL SOREN,All India Trinamool Congress,6284
BITIYA MANJHI,Communist Party of India (Marxist-Leninist) (Liberation),5813
JOSHIL MURMU,Independent,4567
STEPHAN BESRA,Jharkhand Disom Party,4310
SAHADEO SOREN,Aam Aadmi Party,3739
UMANATH KOLE,Independent,3733
None of the Above,None of the Above,18325
